,date,predicted_ar,Pred_attained,required,attained_cii
81,2024-05-06,0.750430703163147,7.834496541023254,10.44,9.2
82,2024-05-07,0.7575703263282776,7.909034206867218,10.44,9.71
83,2024-05-08,0.6349830627441406,6.6292231750488275,10.44,14.01
84,2024-05-09,0.9173259139060974,9.576882541179657,10.44,13.67
85,2024-05-10,0.8284404277801514,8.64891806602478,10.44,7.97
86,2024-05-11,0.6869251132011414,7.171498181819915,10.44,8.0
87,2024-05-13,1.1571128368377686,12.080258016586303,10.44,8.66
88,2024-05-14,0.8922706842422485,9.315305943489074,10.44,9.24
89,2024-05-15,0.7971914410591125,8.322678644657135,10.44,8.82
90,2024-05-17,0.9624110460281372,10.047571320533752,10.44,39.45
91,2024-05-25,0.7625582218170166,7.961107835769653,10.44,7.13
92,2024-05-26,0.5645095705986023,5.893479917049408,10.44,7.87
