,imo,created_at,updated_at,created_by_id,updated_by_id,adjusted_date,speed,mean_draft,sea_state,me_actual_steaming_time,ae_t_steaming,aux_running,blr_running,distance,actual_total_fo,total_co_2,activity_time,status,derived_rpm,slip
84,9235581,,,,,2017-08-20,18.88,6.5,3.0,24.0,24.0,2,0,453.0,67.8,211.13,24.0,SAIL,78.9731112105151,0.0
85,9235581,,,,,2017-08-21,18.04,6.5,4.0,25.0,25.0,1,0,451.0,73.8,229.81,24.0,SAIL,75.4794662907387,6.31
86,9235581,,,,,2017-08-22,17.21,6.5,3.0,24.0,25.0,3,0,413.0,72.4,225.45,24.0,SAIL,71.9997680572688,5.67
87,9235581,,,,,2017-08-23,7.14,6.5,0.0,2.1,5.2,3,0,15.0,3.1,9.65,2.1,SAIL,29.8857563710559,0.0
88,9235581,,,,,2017-08-23,5.0,10.3,3.0,0.8,4.2,3,0,4.0,0.8,2.49,0.8,SAIL,20.9200294597391,0.0
89,9235581,,,,,2017-08-23,17.65,10.3,3.0,1.7,1.7,1,0,30.0,4.1,12.77,1.7,SAIL,73.8353980931969,1.81
90,9235581,,,,,2017-08-23,10.65,9.35,1.5,4.6,33.0,2,0,49.0,12.4,38.61,24.0,SAIL,44.5687584142268,1.81
91,9235581,,,,,2017-08-23,0.0,10.3,0.0,0.0,21.9,3,0,0.0,4.4,13.7,19.4,PORT,0.0,0.0
92,9235581,,,,,2017-08-24,18.74,10.3,3.0,23.0,23.0,1,0,431.0,69.4,216.11,24.0,SAIL,78.4046321491092,6.41
93,9235581,,,,,2017-08-25,8.79,10.3,0.0,3.3,8.6,3,0,29.0,5.0,15.57,3.3,SAIL,36.7685366262081,0.0
94,9235581,,,,,2017-08-25,17.39,10.3,3.0,18.0,18.0,1,0,313.0,58.4,181.86,18.0,SAIL,72.7552135655371,15.4
95,9235581,,,,,2017-08-25,16.06,10.3,1.0,21.3,29.3,2,0,342.0,63.8,198.67,24.0,SAIL,67.179812912965,15.4
96,9235581,,,,,2017-08-25,0.0,10.3,0.0,0.0,2.7,1,0,0.0,0.4,1.25,2.7,PORT,0.0,0.0
97,9235581,,,,,2017-08-26,10.0,6.65,3.0,1.2,3.4,3,0,12.0,1.7,5.29,1.2,SAIL,41.8400589194782,0.0
98,9235581,,,,,2017-08-26,16.23,6.65,3.0,12.2,12.2,1,0,198.0,28.2,87.81,12.2,SAIL,67.9043579184974,-5.6
99,9235581,,,,,2017-08-26,15.67,6.65,2.0,13.4,27.7,2,0,210.0,32.4,100.89,24.0,SAIL,65.5702415902271,-5.6
100,9235581,,,,,2017-08-26,0.0,6.65,0.0,0.0,12.1,3,0,0.0,2.5,7.78,10.6,PORT,0.0,0.0
101,9235581,,,,,2017-08-27,13.88,6.65,3.0,25.0,25.0,1,0,347.0,32.1,99.96,24.0,SAIL,58.0740017802358,-3.63
102,9235581,,,,,2017-08-28,12.5,6.65,0.0,0.4,0.8,2,0,5.0,0.4,1.25,0.4,SAIL,52.3000736493478,0.0
103,9235581,,,,,2017-08-28,12.42,6.65,4.0,18.2,18.2,1,0,226.0,29.3,91.24,18.2,SAIL,51.9552379989125,7.2
104,9235581,,,,,2017-08-28,3.7,6.65,0.0,5.4,9.4,3,0,20.0,2.6,8.1,5.4,SAIL,15.4963181183253,0.0
105,9235581,,,,,2017-08-28,10.46,6.65,1.33,24.0,28.4,2,0,251.0,32.3,100.58,24.0,SAIL,43.757728286621,7.2
106,9235581,,,,,2017-08-29,1.22,6.65,0.0,9.8,14.8,3,0,12.0,5.4,16.82,9.8,SAIL,5.12327252075243,0.0
107,9235581,,,,,2017-08-29,1.22,6.65,0.0,9.8,29.0,2,0,12.0,7.9,24.6,24.0,SAIL,5.12327252075243,0.0
108,9235581,,,,,2017-08-29,0.0,6.65,0.0,0.0,14.2,1,0,0.0,2.5,7.78,14.2,PORT,0.0,0.0
109,9235581,,,,,2017-08-30,6.0,8.95,3.0,1.0,2.8,3,0,6.0,0.9,2.8,1.0,SAIL,25.1040353516869,0.0
110,9235581,,,,,2017-08-30,19.49,8.95,3.0,15.7,15.7,1,0,306.0,53.3,165.98,15.7,SAIL,81.548140314397,4.94
111,9235581,,,,,2017-08-30,18.68,8.95,2.0,16.7,27.8,2,0,312.0,55.9,174.07,24.0,SAIL,78.1682537896839,4.94
112,9235581,,,,,2017-08-30,0.0,8.95,0.0,0.0,9.3,3,0,0.0,1.7,5.29,7.3,PORT,0.0,0.0
113,9235581,,,,,2017-08-31,18.57,8.95,3.0,23.0,23.0,1,0,427.0,70.0,217.98,24.0,SAIL,77.6769789505096,11.11
114,9235581,,,,,2017-09-01,7.89,8.95,0.0,1.9,5.3,3,0,15.0,1.8,5.61,1.9,SAIL,33.031625462746,0.0
115,9235581,,,,,2017-09-01,12.17,8.95,3.0,6.0,12.0,2,0,73.0,9.1,28.34,6.0,SAIL,50.9054050186985,2.83
116,9235581,,,,,2017-09-01,4.38,6.3,3.0,1.6,4.8,3,0,7.0,1.2,3.74,0.0,SAIL,18.3050257772717,
117,9235581,,,,,2017-09-01,10.0,7.62,1.5,9.5,37.0,3,0,95.0,15.1,47.02,21.2,SAIL,41.8400589194782,2.83
118,9235581,,,,,2017-09-01,0.0,6.3,0.0,0.0,14.9,3,0,0.0,3.0,9.34,13.3,PORT,0.0,0.0
119,9235581,,,,,2017-09-02,0.34,6.3,0.0,14.6,18.6,3,0,5.0,4.5,14.01,14.6,SAIL,1.43287873011912,0.0
120,9235581,,,,,2017-09-02,7.6,6.3,0.0,2.5,7.5,3,0,19.0,2.6,8.1,2.5,SAIL,31.7984447788034,0.0
121,9235581,,,,,2017-09-02,1.36,6.3,0.0,17.6,37.2,3,0,24.0,9.0,28.03,25.2,SAIL,5.70546257992885,0.0
122,9235581,,,,,2017-09-02,0.0,6.3,0.0,0.0,11.1,3,0,0.0,1.9,5.92,8.1,PORT,0.0,0.0
123,9235581,,,,,2017-09-03,5.5,5.4,0.0,2.0,6.3,3,0,11.0,2.6,8.1,2.1,SAIL,23.012032405713,0.0
124,9235581,,,,,2017-09-03,5.5,5.47,0.0,2.0,30.2,2,0,11.0,7.2,22.42,24.0,SAIL,23.012032405713,0.0
125,9235581,,,,,2017-09-03,0.0,5.4,0.0,0.0,3.6,3,0,0.0,0.4,1.25,1.6,PORT,0.0,0.0
126,9235581,,,,,2017-09-08,6.32,5.6,0.0,1.9,3.8,2,0,12.0,1.8,5.61,1.9,SAIL,26.4253003701968,0.0
127,9235581,,,,,2017-09-08,1.0,5.6,3.0,2.0,3.5,2,0,2.0,0.8,2.49,0.0,SAIL,4.18400589194782,
128,9235581,,,,,2017-09-08,3.59,6.15,1.0,3.9,28.1,2,0,14.0,7.5,23.36,17.3,SAIL,15.0195083300691,0.0
129,9235581,,,,,2017-09-08,0.0,7.25,0.0,0.0,20.8,3,0,0.0,4.9,15.26,15.4,PORT,0.0,0.0
130,9235581,,,,,2017-09-09,5.38,7.25,3.0,1.3,3.6,3,0,7.0,1.8,5.61,1.3,SAIL,22.5292624951037,0.0
131,9235581,,,,,2017-09-09,13.3,7.25,3.0,23.0,23.0,1,0,306.0,29.4,91.55,23.0,SAIL,55.665469692871,11.11
132,9235581,,,,,2017-09-09,12.88,7.25,3.0,24.3,26.6,2,0,313.0,31.2,97.16,24.3,SAIL,53.8927507892868,11.11
133,9235581,,,,,2017-09-10,14.0,7.25,3.0,25.0,25.0,1,0,350.0,31.6,98.4,24.0,SAIL,58.5760824872695,0.96
134,9235581,,,,,2017-09-11,6.32,7.25,0.0,1.9,5.7,3,0,12.0,2.2,6.85,1.9,SAIL,26.4253003701968,0.0
135,9235581,,,,,2017-09-11,13.5,7.25,3.0,10.0,11.0,2,0,135.0,17.6,54.81,10.0,SAIL,56.4840795412956,6.53
136,9235581,,,,,2017-09-11,12.35,7.25,1.0,11.9,28.8,2,0,147.0,22.7,70.69,24.0,SAIL,51.6847786652378,6.53
137,9235581,,,,,2017-09-11,0.0,7.25,0.0,0.0,12.1,1,0,0.0,2.9,9.03,12.1,PORT,0.0,0.0
138,9235581,,,,,2017-09-12,6.25,9.55,3.0,0.8,2.1,3,0,5.0,1.2,3.74,0.8,SAIL,26.1500368246739,0.0
139,9235581,,,,,2017-09-12,15.94,9.55,3.0,18.0,18.0,1,0,287.0,37.0,115.22,18.0,SAIL,66.7116494993903,4.38
140,9235581,,,,,2017-09-12,15.53,9.55,2.0,18.8,26.8,2,0,292.0,39.7,123.63,24.0,SAIL,64.9856234281257,4.38
141,9235581,,,,,2017-09-12,0.0,9.55,0.0,0.0,6.7,3,0,0.0,1.5,4.67,5.2,PORT,0.0,0.0
142,9235581,,,,,2017-09-13,15.13,9.55,3.0,23.0,23.0,1,0,348.0,36.2,112.73,24.0,SAIL,63.305828278167,10.53
143,9235581,,,,,2017-09-14,8.7,9.55,0.0,2.3,6.9,3,0,20.0,3.3,10.28,2.3,SAIL,36.3826599299811,0.0
144,9235581,,,,,2017-09-14,12.0,9.55,3.0,14.0,14.0,1,0,168.0,23.5,73.18,14.0,SAIL,50.2080707033739,8.75
145,9235581,,,,,2017-09-14,11.53,9.55,1.0,16.3,28.6,2,0,188.0,28.7,89.37,24.0,SAIL,48.2572458703184,8.75
146,9235581,,,,,2017-09-14,0.0,9.55,0.0,0.0,7.7,1,0,0.0,1.9,5.92,7.7,PORT,0.0,0.0
147,9235581,,,,,2017-09-15,2.82,6.9,0.0,7.8,14.9,3,0,22.0,4.9,15.26,7.8,SAIL,11.80104225934,0.0
148,9235581,,,,,2017-09-15,7.5,6.9,0.0,0.4,0.4,1,0,3.0,0.7,2.18,0.4,SAIL,31.3800441896087,0.0
149,9235581,,,,,2017-09-15,7.0,6.9,3.0,1.0,2.5,3,0,7.0,1.5,4.67,0.0,SAIL,29.2880412436348,
150,9235581,,,,,2017-09-15,3.48,6.9,0.6,9.2,34.1,2,0,32.0,10.4,32.39,23.0,SAIL,14.5530639719924,0.0
